date,game_id,home,away,home_score,away_score
2026-04-29,NPB20260429ME05,ロッテ,楽天,5,3
2026-04-30,NPB20260430LF04,西武,日本ハム,2,3
2026-05-01,NPB20260501FB04,日本ハム,オリックス,5,1
2026-05-01,NPB20260501ML05,ロッテ,西武,0,10
2026-05-01,NPB20260501SHE06,ソフトバンク,楽天,4,1
2026-05-02,NPB20260502FB04,日本ハム,オリックス,9,10
2026-05-02,NPB20260502ML05,ロッテ,西武,4,5
2026-05-02,NPB20260502SHE06,ソフトバンク,楽天,5,0
2026-05-03,NPB20260503FB03,日本ハム,オリックス,3,0
2026-05-03,NPB20260503ML04,ロッテ,西武,10,0
2026-05-03,NPB20260503SHE05,ソフトバンク,楽天,0,7
2026-05-04,NPB20260504BM06,オリックス,ロッテ,3,0
2026-05-04,NPB20260504EF04,楽天,日本ハム,3,1
2026-05-04,NPB20260504LSH05,西武,ソフトバンク,10,2
2026-05-05,NPB20260505BM06,オリックス,ロッテ,6,1
2026-05-05,NPB20260505EF04,楽天,日本ハム,3,2
2026-05-05,NPB20260505LSH05,西武,ソフトバンク,4,6
2026-05-06,NPB20260506BM06,オリックス,ロッテ,3,0
2026-05-06,NPB20260506EF04,楽天,日本ハム,2,12
2026-05-06,NPB20260506LSH05,西武,ソフトバンク,10,2
2026-05-08,NPB20260508BF05,オリックス,日本ハム,4,3
2026-05-08,NPB20260508LE04,西武,楽天,4,2
2026-05-08,NPB20260508SHM06,ソフトバンク,ロッテ,6,5
2026-05-09,NPB20260509BF05,オリックス,日本ハム,0,3
2026-05-09,NPB20260509LE04,西武,楽天,6,2
2026-05-09,NPB20260509SHM06,ソフトバンク,ロッテ,4,5
2026-05-10,NPB20260510BF05,オリックス,日本ハム,0,2
2026-05-10,NPB20260510LE04,西武,楽天,6,1
2026-05-10,NPB20260510SHM06,ソフトバンク,ロッテ,8,3
2026-05-12,NPB20260512EB04,楽天,オリックス,0,2
2026-05-12,NPB20260512MF05,ロッテ,日本ハム,2,3
2026-05-12,NPB20260512SHL06,ソフトバンク,西武,0,3
2026-05-13,NPB20260513MF04,ロッテ,日本ハム,2,6
2026-05-13,NPB20260513SHL05,ソフトバンク,西武,1,2
2026-05-14,NPB20260514EB02,楽天,オリックス,3,0
2026-05-14,NPB20260514MF03,ロッテ,日本ハム,5,3
2026-05-15,NPB20260515ESH05,楽天,ソフトバンク,6,3
2026-05-15,NPB20260515FL04,日本ハム,西武,0,3
2026-05-15,NPB20260515MB06,ロッテ,オリックス,6,3
2026-05-16,NPB20260516ESH05,楽天,ソフトバンク,4,3
2026-05-16,NPB20260516FL04,日本ハム,西武,5,4
2026-05-16,NPB20260516MB06,ロッテ,オリックス,2,0
2026-05-17,NPB20260517ESH05,楽天,ソフトバンク,1,5
2026-05-17,NPB20260517FL04,日本ハム,西武,3,6
2026-05-17,NPB20260517MB06,ロッテ,オリックス,3,2
2026-05-19,NPB20260519BSH06,オリックス,ソフトバンク,2,1
2026-05-19,NPB20260519FE04,日本ハム,楽天,6,2
2026-05-19,NPB20260519LM05,西武,ロッテ,3,2
2026-05-20,NPB20260520BSH05,オリックス,ソフトバンク,8,3
2026-05-20,NPB20260520FE03,日本ハム,楽天,5,3
2026-05-20,NPB20260520LM04,西武,ロッテ,1,3
2026-05-22,NPB20260522EM03,楽天,ロッテ,1,2
2026-05-22,NPB20260522LB04,西武,オリックス,1,5
2026-05-22,NPB20260522SHF05,ソフトバンク,日本ハム,10,0
2026-05-23,NPB20260523EM04,楽天,ロッテ,6,7
2026-05-23,NPB20260523LB05,西武,オリックス,4,1
2026-05-23,NPB20260523SHF06,ソフトバンク,日本ハム,11,1
2026-05-24,NPB20260524EM04,楽天,ロッテ,8,5
2026-05-24,NPB20260524LB05,西武,オリックス,4,3
2026-05-24,NPB20260524SHF06,ソフトバンク,日本ハム,7,6
2026-05-26,NPB20260526CDE04,中日,楽天,1,0
2026-05-26,NPB20260526DBB03,DeNA,オリックス,1,7
2026-05-26,NPB20260526HCM06,広島,ロッテ,1,3
2026-05-26,NPB20260526HTF05,阪神,日本ハム,0,4
2026-05-26,NPB20260526YGSH01,巨人,ソフトバンク,3,8
2026-05-26,NPB20260526YSL02,ヤクルト,西武,1,2
2026-05-27,NPB20260527CDE04,中日,楽天,7,2
2026-05-27,NPB20260527DBB03,DeNA,オリックス,2,5
2026-05-27,NPB20260527HCM06,広島,ロッテ,4,5
2026-05-27,NPB20260527HTF05,阪神,日本ハム,2,5
2026-05-27,NPB20260527YGSH01,巨人,ソフトバンク,5,1
2026-05-27,NPB20260527YSL02,ヤクルト,西武,2,2
2026-05-28,NPB20260528CDE04,中日,楽天,2,1
