シーズン,日付,ゲームタイプ,球団,ホーム・ビジター,結果,スコア,対戦球団,R,H,E,ボックススコア,回戦,球場,試合開始,試合時間,入場者,GameID
2025,2025-04-01,公式戦,阪神タイガース,ホーム,L,1,横浜DeNAベイスターズ,1,5,0,"0,1,0,0,0,0,0,0,0",1,京セラD大阪,18:06,03:02,36190,GAME20250401HTDB0021
2025,2025-04-01,公式戦,福岡ソフトバンクホークス,ビジター,W,5,北海道日本ハムファイターズ,5,10,0,"1,2,0,0,2,0,0,0,0",1,エスコンＦ,18:33,02:38,33017,GAME20250401NFSH0020
2025,2025-04-01,公式戦,北海道日本ハムファイターズ,ホーム,L,1,福岡ソフトバンクホークス,1,2,0,"0,1,0,0,0,0,0,0,0",1,エスコンＦ,18:33,02:38,33017,GAME20250401NFSH0020
2025,2025-04-02,公式戦,読売ジャイアンツ,ビジター,W,2,中日ドラゴンズ,2,7,1,"1,0,0,0,0,1,0,0,0",2,バンテリンドーム,18:00,02:44,36082,GAME20250402CDYG0024
2025,2025-04-02,公式戦,中日ドラゴンズ,ホーム,L,0,読売ジャイアンツ,0,5,0,"0,0,0,0,0,0,0,0,0",2,バンテリンドーム,18:00,02:44,36082,GAME20250402CDYG0024
2025,2025-04-02,公式戦,横浜DeNAベイスターズ,ビジター,T,6,阪神タイガース,6,15,0,"0,1,0,0,0,2,0,3,0,0,0,0",2,京セラD大阪,18:01,04:28,36146,GAME20250402HTDB0026
2025,2025-04-02,公式戦,阪神タイガース,ホーム,T,6,横浜DeNAベイスターズ,6,10,0,"0,0,0,2,0,2,2,0,0,0,0,0",2,京セラD大阪,18:01,04:28,36146,GAME20250402HTDB0026
2025,2025-04-02,公式戦,オリックス・バファローズ,ビジター,W,3,千葉ロッテマリーンズ,3,9,3,"0,0,0,1,0,0,2,0,0",1,ZOZOマリン,14:00,03:11,26184,GAME20250402LMOB0023
2025,2025-04-02,公式戦,千葉ロッテマリーンズ,ホーム,L,2,オリックス・バファローズ,2,8,0,"0,0,1,0,0,0,1,0,0",1,ZOZOマリン,14:00,03:11,26184,GAME20250402LMOB0023
2025,2025-04-02,公式戦,福岡ソフトバンクホークス,ビジター,L,1,北海道日本ハムファイターズ,1,7,2,"0,0,0,0,0,1,0,0,0",2,エスコンＦ,18:32,03:25,31313,GAME20250402NFSH0025
2025,2025-04-02,公式戦,北海道日本ハムファイターズ,ホーム,W,3,福岡ソフトバンクホークス,3,6,0,"0,0,0,0,2,0,1,0,x",2,エスコンＦ,18:32,03:25,31313,GAME20250402NFSH0025
2025,2025-04-02,公式戦,広島東洋カープ,ビジター,L,4,東京ヤクルトスワローズ,4,7,1,"0,2,0,0,0,2,0,0,0,0",1,神　宮,18:00,03:49,25522,GAME20250402YSHC0022
2025,2025-04-02,公式戦,東京ヤクルトスワローズ,ホーム,W,5,広島東洋カープ,5,10,0,"1,0,0,0,0,0,0,3,0,1x",1,神　宮,18:00,03:49,25522,GAME20250402YSHC0022
2025,2025-04-03,公式戦,読売ジャイアンツ,ビジター,W,5,中日ドラゴンズ,5,13,0,"0,1,2,0,1,0,0,1,0",3,バンテリンドーム,18:00,03:45,36282,GAME20250403CDYG0029
2025,2025-04-03,公式戦,中日ドラゴンズ,ホーム,L,3,読売ジャイアンツ,3,9,1,"0,0,1,0,0,1,1,0,0",3,バンテリンドーム,18:00,03:45,36282,GAME20250403CDYG0029
2025,2025-04-03,公式戦,横浜DeNAベイスターズ,ビジター,W,5,阪神タイガース,5,7,1,"0,0,0,0,0,1,0,1,3",3,京セラD大阪,18:00,02:56,36171,GAME20250403HTDB0031
2025,2025-04-03,公式戦,阪神タイガース,ホーム,L,2,横浜DeNAベイスターズ,2,7,0,"0,0,0,0,0,0,0,2,0",3,京セラD大阪,18:00,02:56,36171,GAME20250403HTDB0031
2025,2025-04-03,公式戦,オリックス・バファローズ,ビジター,W,3,千葉ロッテマリーンズ,3,13,0,"0,0,0,0,0,2,0,1,0",2,ZOZOマリン,14:00,03:39,24104,GAME20250403LMOB0028
2025,2025-04-03,公式戦,千葉ロッテマリーンズ,ホーム,L,2,オリックス・バファローズ,2,7,0,"0,0,0,0,0,2,0,0,0",2,ZOZOマリン,14:00,03:39,24104,GAME20250403LMOB0028
2025,2025-04-03,公式戦,埼玉西武ライオンズ,ビジター,L,1,東北楽天ゴールデンイーグルス,1,3,1,"0,0,0,1,0,0,0,0,0",1,楽天モバイル,13:04,03:05,23114,GAME20250403RESL0030
2025,2025-04-03,公式戦,東北楽天ゴールデンイーグルス,ホーム,W,4,埼玉西武ライオンズ,4,12,0,"0,0,0,0,0,3,0,1,x",1,楽天モバイル,13:04,03:05,23114,GAME20250403RESL0030
2025,2025-04-03,公式戦,広島東洋カープ,ビジター,L,0,東京ヤクルトスワローズ,0,2,0,"0,0,0,0,0,0,0,0,0",2,神　宮,18:00,02:14,25379,GAME20250403YSHC0027
2025,2025-04-03,公式戦,東京ヤクルトスワローズ,ホーム,W,3,広島東洋カープ,3,7,0,"0,0,0,2,0,0,1,0,x",2,神　宮,18:00,02:14,25379,GAME20250403YSHC0027
2025,2025-04-04,公式戦,横浜DeNAベイスターズ,ビジター,L,2,広島東洋カープ,2,5,1,"0,0,2,0,0,0,0,0,0",1,マツダスタジアム,18:00,03:06,24954,GAME20250404HCDB0036
2025,2025-04-04,公式戦,広島東洋カープ,ホーム,W,8,横浜DeNAベイスターズ,8,12,2,"0,0,0,3,1,4,0,0,x",1,マツダスタジアム,18:00,03:06,24954,GAME20250404HCDB0036
2025,2025-04-04,公式戦,東北楽天ゴールデンイーグルス,ビジター,W,3,千葉ロッテマリーンズ,3,9,0,"0,0,0,1,1,0,0,0,1",1,ZOZOマリン,18:00,02:58,24606,GAME20250404LMRE0034
2025,2025-04-04,公式戦,千葉ロッテマリーンズ,ホーム,L,1,東北楽天ゴールデンイーグルス,1,4,1,"0,0,0,0,0,0,1,0,0",1,ZOZOマリン,18:00,02:58,24606,GAME20250404LMRE0034
2025,2025-04-04,公式戦,オリックス・バファローズ,ビジター,W,4,北海道日本ハムファイターズ,4,9,0,"0,0,3,0,0,0,1,0,0",1,エスコンＦ,18:02,02:41,30244,GAME20250404NFOB0037
2025,2025-04-04,公式戦,北海道日本ハムファイターズ,ホーム,L,3,オリックス・バファローズ,3,7,1,"0,0,0,1,0,1,0,1,0",1,エスコンＦ,18:02,02:41,30244,GAME20250404NFOB0037
2025,2025-04-04,公式戦,埼玉西武ライオンズ,ビジター,W,6,福岡ソフトバンクホークス,6,10,0,"0,0,0,6,0,0,0,0,0",1,みずほPayPay,18:00,03:10,39053,GAME20250404SHSL0032
2025,2025-04-04,公式戦,福岡ソフトバンクホークス,ホーム,L,0,埼玉西武ライオンズ,0,7,2,"0,0,0,0,0,0,0,0,0",1,みずほPayPay,18:00,03:10,39053,GAME20250404SHSL0032
