date,game_id,home,away,home_score,away_score,home_elo_before,away_elo_before,home_expected_win_rate,home_elo_change,home_elo_after,away_elo_after
2026-05-26,NPB20260526HCM06,広島,ロッテ,1,3,1482.4334675725245,1503.6543010030027,0.5097547670199271,-12.234114408478248,1470.1993531640462,1515.888415411481
2026-05-26,NPB20260526HTF05,阪神,日本ハム,0,4,1561.7467752766509,1486.3526583261946,0.6445537972897567,-15.469291134954162,1546.2774841416967,1501.8219494611487
2026-05-26,NPB20260526YGSH01,巨人,ソフトバンク,3,8,1505.9117637305828,1489.042460628685,0.5642155136522622,-13.541172327654293,1492.3705914029285,1502.5836329563392
2026-05-26,NPB20260526YSL02,ヤクルト,西武,1,2,1542.1235960682825,1570.5140236714813,0.49943812974962193,-11.986515113990926,1530.1370809542916,1582.5005387854721
2026-05-27,NPB20260527CDE04,中日,楽天,7,2,1430.6795259787164,1425.0236062939907,0.5482838291796931,10.841188099687365,1441.5207140784037,1414.1824181943034
2026-05-27,NPB20260527DBB03,DeNA,オリックス,2,5,1476.6439621794354,1525.8738592704528,0.4694856904665098,-11.267656571196234,1465.3763056082391,1537.1415158416492
2026-05-27,NPB20260527HCM06,広島,ロッテ,4,5,1470.1993531640462,1515.888415411481,0.4745653661437721,-11.38956878745053,1458.8097843765956,1527.2779841989316
2026-05-27,NPB20260527HTF05,阪神,日本ハム,2,5,1546.2774841416967,1501.8219494611487,0.6027861249600404,-14.466866999040969,1531.8106171426557,1516.2888164601898
2026-05-27,NPB20260527YGSH01,巨人,ソフトバンク,5,1,1492.3705914029285,1502.5836329563392,0.5255751512310172,11.386196370455588,1503.756787773384,1491.1974365858837
2026-05-27,NPB20260527YSL02,ヤクルト,西武,2,2,1530.1370809542916,1582.5005387854721,0.4649955231148371,0.8401074452439095,1530.9771883995354,1581.6604313402283
2026-05-28,NPB20260528CDE04,中日,楽天,2,1,1441.5207140784037,1414.1824181943034,0.5789715272346184,10.104683346369157,1451.625397424773,1404.0777348479342
2026-05-28,NPB20260528DBB03,DeNA,オリックス,3,1,1465.3763056082391,1537.1415158416492,0.4373478280553895,13.503652126670652,1478.8799577349098,1523.6378637149785
2026-05-28,NPB20260528HCM06,広島,ロッテ,3,6,1458.8097843765956,1527.2779841989316,0.4420235282613227,-10.608564678271744,1448.201219698324,1537.8865488772033
2026-05-28,NPB20260528HTF05,阪神,日本ハム,2,4,1531.8106171426557,1516.2888164601898,0.5623073472643111,-13.495376334343465,1518.3152408083122,1529.7841927945333
2026-05-28,NPB20260528YGSH01,巨人,ソフトバンク,4,8,1503.756787773384,1491.1974365858837,0.5581058814673496,-13.394541155216391,1490.3622466181678,1504.5919777411
2026-05-28,NPB20260528YSL02,ヤクルト,西武,0,8,1530.9771883995354,1581.6604313402283,0.4674024915228032,-11.217659796547277,1519.7595286029882,1592.8780911367755
2026-05-29,NPB20260529BCD05,オリックス,中日,1,5,1523.6378637149785,1451.625397424773,0.6400815322340822,-15.361956773617973,1508.2759069413605,1466.987354198391
2026-05-29,NPB20260529EYS02,楽天,ヤクルト,2,7,1404.0777348479342,1519.7595286029882,0.3764281088295999,-9.034274611910398,1395.0434602360237,1528.7938032148986
2026-05-29,NPB20260529FYG01,日本ハム,巨人,2,4,1529.7841927945333,1490.3622466181678,0.5958281000925879,-14.299874402222109,1515.4843183923113,1504.6621210203898
2026-05-29,NPB20260529LDB03,西武,DeNA,13,4,1592.8780911367755,1478.8799577349098,0.6936856332654335,7.351544801629595,1600.2296359384052,1471.5284129332802
2026-05-29,NPB20260529MHT04,ロッテ,阪神,0,1,1537.8865488772033,1518.3152408083122,0.5680359795061405,-13.632863508147372,1524.2536853690558,1531.9481043164596
2026-05-29,NPB20260529SHHC06,ソフトバンク,広島,2,0,1504.5919777411,1448.201219698324,0.6191146950915112,9.141247317803732,1513.7332250589038,1439.0599723805203
2026-05-30,NPB20260530BCD05,オリックス,中日,3,1,1508.2759069413605,1466.987354198391,0.5984130043172967,9.638087896384878,1517.9139948377453,1457.349266302006
2026-05-30,NPB20260530EYS02,楽天,ヤクルト,7,8,1395.0434602360237,1528.7938032148986,0.3523448698412581,-8.456276876190195,1386.5871833598335,1537.2500800910889
2026-05-30,NPB20260530FYG01,日本ハム,巨人,3,5,1515.4843183923113,1504.6621210203898,0.5556382653860258,-13.33531836926462,1502.1490000230467,1517.9974393896543
2026-05-30,NPB20260530LDB03,西武,DeNA,6,0,1600.2296359384052,1471.5284129332802,0.7113695181377694,6.927131564693535,1607.1567675030988,1464.6012813685866
2026-05-30,NPB20260530MHT04,ロッテ,阪神,3,4,1524.2536853690558,1531.9481043164596,0.5291888540633817,-12.70053249752116,1511.5531528715346,1544.6486368139808
2026-05-30,NPB20260530SHHC06,ソフトバンク,広島,4,2,1513.7332250589038,1439.0599723805203,0.6436025307680996,8.55353926156561,1522.2867643204695,1430.5064331189546
2026-05-31,NPB20260531BCD05,オリックス,中日,7,5,1517.9139948377453,1457.349266302006,0.6247641739869271,9.00565982431375,1526.9196546620592,1448.3436064776922
2026-05-31,NPB20260531EYS02,楽天,ヤクルト,1,2,1386.5871833598335,1537.2500800910889,0.3304601974735407,-7.931044739364977,1378.6561386204685,1545.1811248304539
2026-05-31,NPB20260531FYG01,日本ハム,巨人,3,0,1502.1490000230467,1517.9974393896543,0.5174803744355789,11.580471013546106,1513.7294710365927,1506.4169683761083
2026-05-31,NPB20260531LDB03,西武,DeNA,0,6,1607.1567675030988,1464.6012813685866,0.7274644960343287,-17.45914790482389,1589.697619598275,1482.0604292734104
2026-05-31,NPB20260531MHT04,ロッテ,阪神,4,2,1511.5531528715346,1544.6486368139808,0.492667534853596,12.175979163513695,1523.7291320350482,1532.4726576504672
