date,game_id,home,away,home_score,away_score,stadium,start_time,home_elo_before,away_elo_before,home_expected_win_rate,home_elo_change,home_elo_after,away_elo_after
2025-05-06,GAME20250506CDDB0180,中日,DeNA,0,3,バンテリンドーム,14:01,1487.2822943842416,1501.8321560355473,0.5293961747145192,-10.587923494290383,1476.6943708899512,1512.4200795298377
2025-05-06,GAME20250506YGHT0181,巨人,阪神,1,7,東京ドーム,18:01,1529.516302655209,1524.021140916351,0.5580147510240598,-11.160295020481197,1518.3560076347278,1535.1814359368323
2025-05-07,GAME20250507CDDB0186,中日,DeNA,2,1,バンテリンドーム,18:00,1476.6943708899512,1512.4200795298377,0.4989556228338025,10.020887543323948,1486.715258433275,1502.3991919865139
2025-05-07,GAME20250507YGHT0187,巨人,阪神,6,4,東京ドーム,18:00,1518.3560076347278,1535.1814359368323,0.5261314801069551,9.477370397860899,1527.8333780325886,1525.7040655389715
2025-05-07,GAME20250507YSHC0184,ヤクルト,広島,3,5,神　宮,18:00,1453.374349249022,1503.9737567596292,0.4775657210184531,-9.551314420369062,1443.8230348286531,1513.5250711799981
2025-05-09,GAME20250509DBHC0190,DeNA,広島,4,3,横　浜,18:00,1502.3991919865139,1513.5250711799981,0.5343036471830478,9.313927056339043,1511.713119042853,1504.211144123659
2025-05-09,GAME20250509YSYG0191,ヤクルト,巨人,5,2,神　宮,18:00,1443.8230348286531,1527.8333780325886,0.42993258359768244,11.401348328046353,1455.2243831566996,1516.4320297045422
2025-05-10,GAME20250510HTCD0198,阪神,中日,2,0,甲子園,14:00,1525.7040655389715,1486.715258433275,0.6048975032131942,7.902049935736115,1533.6061154747076,1478.8132084975389
2025-05-10,GAME20250510DBHC0195,DeNA,広島,3,5,横　浜,14:01,1511.713119042853,1504.211144123659,0.5608619663058408,-11.217239326116816,1500.495879716736,1515.428383449776
2025-05-10,GAME20250510YSYG0196,ヤクルト,巨人,2,3,神　宮,18:00,1455.2243831566996,1516.4320297045422,0.4623555359747194,-9.247110719494389,1445.977272437205,1525.6791404240366
2025-05-11,GAME20250511DBHC0201,DeNA,広島,4,2,横　浜,14:00,1500.495879716736,1515.428383449776,0.5288473765809346,9.423052468381307,1509.9189321851172,1506.0053309813948
2025-05-11,GAME20250511HTCD0204,阪神,中日,1,0,甲子園,14:00,1533.6061154747076,1478.8132084975389,0.6264201454982447,7.471597090035107,1541.0777125647428,1471.3416114075037
2025-05-11,GAME20250511YSYG0202,ヤクルト,巨人,2,1,神　宮,18:00,1445.977272437205,1525.6791404240366,0.43602148500105636,11.279570299978872,1457.256842737184,1514.3995701240578
2025-05-13,GAME20250513CDYS0208,中日,ヤクルト,5,4,豊　橋,18:00,1471.3416114075037,1457.256842737184,0.5701724167646759,8.596551664706482,1479.9381630722103,1448.6602910724773
2025-05-13,GAME20250513DBHT0207,DeNA,阪神,1,1,ハードオフ新潟,18:00,1509.9189321851172,1541.0777125647428,0.5055277341753582,-0.11055468350716469,1509.80837750161,1541.18826724825
