date,game_id,home,away,home_score,away_score,stadium,start_time
2025-04-18,GAME20250418HTHC0097,阪神,広島,2,5,甲子園,18:01
2025-04-19,GAME20250419CDDB0101,中日,DeNA,3,2,バンテリンドーム,14:00
2025-04-19,GAME20250419HTHC0103,阪神,広島,0,3,甲子園,14:01
2025-04-19,GAME20250419YSYG0100,ヤクルト,巨人,4,6,神　宮,18:00
2025-04-20,GAME20250420CDDB0107,中日,DeNA,2,0,バンテリンドーム,13:30
2025-04-20,GAME20250420HTHC0109,阪神,広島,8,1,甲子園,14:01
2025-04-20,GAME20250420YSYG0106,ヤクルト,巨人,3,2,神　宮,18:01
2025-04-22,GAME20250422DBHT0112,DeNA,阪神,2,4,横　浜,17:45
2025-04-22,GAME20250422YGCD0114,巨人,中日,8,1,東京ドーム,18:00
2025-04-23,GAME20250423DBHT0117,DeNA,阪神,2,3,横　浜,17:45
2025-04-23,GAME20250423HCYS0120,広島,ヤクルト,7,1,マツダスタジアム,18:00
2025-04-23,GAME20250423YGCD0119,巨人,中日,2,0,東京ドーム,18:00
2025-04-24,GAME20250424DBHT0122,DeNA,阪神,2,4,横　浜,17:45
2025-04-25,GAME20250425CDYS0124,中日,ヤクルト,4,6,バンテリンドーム,18:00
2025-04-25,GAME20250425DBHC0123,DeNA,広島,2,1,横　浜,18:00
2025-04-25,GAME20250425HTYG0127,阪神,巨人,4,1,甲子園,18:01
2025-04-26,GAME20250426CDYS0130,中日,ヤクルト,5,2,バンテリンドーム,14:00
2025-04-26,GAME20250426DBHC0129,DeNA,広島,2,0,横　浜,14:00
2025-04-26,GAME20250426HTYG0133,阪神,巨人,6,2,甲子園,14:00
2025-04-27,GAME20250427CDYS0136,中日,ヤクルト,2,6,バンテリンドーム,13:30
2025-04-27,GAME20250427DBHC0135,DeNA,広島,2,1,横　浜,14:00
2025-04-27,GAME20250427HTYG0139,阪神,巨人,1,2,甲子園,14:02
2025-04-29,GAME20250429YSDB0143,ヤクルト,DeNA,1,6,神　宮,13:31
2025-04-29,GAME20250429CDHT0144,中日,阪神,4,1,バンテリンドーム,14:00
2025-04-29,GAME20250429YGHC0145,巨人,広島,4,3,東京ドーム,14:01
2025-04-30,GAME20250430YSDB0149,ヤクルト,DeNA,4,1,神　宮,18:00
2025-04-30,GAME20250430CDHT0150,中日,阪神,5,4,バンテリンドーム,18:01
2025-04-30,GAME20250430YGHC0151,巨人,広島,2,0,東京ドーム,18:01
2025-05-01,GAME20250501CDHT0155,中日,阪神,3,2,バンテリンドーム,18:00
2025-05-01,GAME20250501YSDB0154,ヤクルト,DeNA,0,3,神　宮,18:00
2025-05-01,GAME20250501YGHC0156,巨人,広島,4,3,東京ドーム,18:01
2025-05-02,GAME20250502HCCD0159,広島,中日,2,4,マツダスタジアム,18:00
2025-05-02,GAME20250502HTYS0160,阪神,ヤクルト,4,0,甲子園,18:02
2025-05-03,GAME20250503DBYG0162,DeNA,巨人,1,0,横　浜,14:00
2025-05-03,GAME20250503HCCD0163,広島,中日,2,0,マツダスタジアム,14:00
2025-05-03,GAME20250503HTYS0166,阪神,ヤクルト,7,1,甲子園,14:00
2025-05-04,GAME20250504HCCD0169,広島,中日,9,4,マツダスタジアム,13:30
2025-05-04,GAME20250504DBYG0168,DeNA,巨人,1,3,横　浜,14:00
2025-05-04,GAME20250504HTYS0172,阪神,ヤクルト,2,5,甲子園,14:01
2025-05-05,GAME20250505CDDB0176,中日,DeNA,1,2,バンテリンドーム,14:01
2025-05-05,GAME20250505YGHT0177,巨人,阪神,1,10,東京ドーム,18:00
2025-05-05,GAME20250505YSHC0174,ヤクルト,広島,0,4,神　宮,18:00
2025-05-06,GAME20250506CDDB0180,中日,DeNA,0,3,バンテリンドーム,14:01
2025-05-06,GAME20250506YGHT0181,巨人,阪神,1,7,東京ドーム,18:01
2025-05-07,GAME20250507CDDB0186,中日,DeNA,2,1,バンテリンドーム,18:00
2025-05-07,GAME20250507YGHT0187,巨人,阪神,6,4,東京ドーム,18:00
2025-05-07,GAME20250507YSHC0184,ヤクルト,広島,3,5,神　宮,18:00
2025-05-09,GAME20250509DBHC0190,DeNA,広島,4,3,横　浜,18:00
2025-05-09,GAME20250509YSYG0191,ヤクルト,巨人,5,2,神　宮,18:00
2025-05-10,GAME20250510HTCD0198,阪神,中日,2,0,甲子園,14:00
2025-05-10,GAME20250510DBHC0195,DeNA,広島,3,5,横　浜,14:01
2025-05-10,GAME20250510YSYG0196,ヤクルト,巨人,2,3,神　宮,18:00
2025-05-11,GAME20250511DBHC0201,DeNA,広島,4,2,横　浜,14:00
2025-05-11,GAME20250511HTCD0204,阪神,中日,1,0,甲子園,14:00
2025-05-11,GAME20250511YSYG0202,ヤクルト,巨人,2,1,神　宮,18:00
2025-05-13,GAME20250513CDYS0208,中日,ヤクルト,5,4,豊　橋,18:00
2025-05-13,GAME20250513DBHT0207,DeNA,阪神,1,1,ハードオフ新潟,18:00
2025-05-13,GAME20250513HCYG0209,広島,巨人,5,4,マツダスタジアム,18:01
2025-05-14,GAME20250514CDYS0213,中日,ヤクルト,2,0,バンテリンドーム,18:00
2025-05-14,GAME20250514HCYG0214,広島,巨人,3,0,マツダスタジアム,18:00
2025-05-15,GAME20250515DBHT0218,DeNA,阪神,1,0,横　浜,18:00
2025-05-15,GAME20250515HCYG0219,広島,巨人,5,1,マツダスタジアム,18:01
2025-05-16,GAME20250516YGCD0225,巨人,中日,4,2,東京ドーム,18:00
