日付,ゲームタイプ,球団,ホーム・ビジター,スコア,対戦球団,GameID
2026-04-08,公式戦,DeNA,ホーム,4,中日,NPB20260408DBCD01
2026-04-08,公式戦,中日,ビジター,6,DeNA,NPB20260408DBCD01
2026-04-08,公式戦,楽天,ホーム,0,日本ハム,NPB20260408EF04
2026-04-08,公式戦,日本ハム,ビジター,1,楽天,NPB20260408EF04
2026-04-08,公式戦,広島,ホーム,1,巨人,NPB20260408HCYG03
2026-04-08,公式戦,巨人,ビジター,2,広島,NPB20260408HCYG03
2026-04-08,公式戦,阪神,ホーム,2,ヤクルト,NPB20260408HTYS02
2026-04-08,公式戦,ヤクルト,ビジター,3,阪神,NPB20260408HTYS02
2026-04-08,公式戦,ソフトバンク,ホーム,1,西武,NPB20260408SHL06
2026-04-08,公式戦,西武,ビジター,2,ソフトバンク,NPB20260408SHL06
2026-04-09,公式戦,オリックス,ホーム,2,ロッテ,NPB20260409BM03
2026-04-09,公式戦,ロッテ,ビジター,1,オリックス,NPB20260409BM03
2026-04-09,公式戦,楽天,ホーム,2,日本ハム,NPB20260409EF02
2026-04-09,公式戦,日本ハム,ビジター,4,楽天,NPB20260409EF02
2026-04-09,公式戦,阪神,ホーム,2,ヤクルト,NPB20260409HTYS01
2026-04-09,公式戦,ヤクルト,ビジター,0,阪神,NPB20260409HTYS01
2026-04-09,公式戦,ソフトバンク,ホーム,2,西武,NPB20260409SHL04
2026-04-09,公式戦,西武,ビジター,0,ソフトバンク,NPB20260409SHL04
2026-04-10,公式戦,中日,ホーム,3,阪神,NPB20260410CDHT02
2026-04-10,公式戦,阪神,ビジター,5,中日,NPB20260410CDHT02
2026-04-10,公式戦,西武,ホーム,3,ロッテ,NPB20260410LM03
2026-04-10,公式戦,ロッテ,ビジター,6,西武,NPB20260410LM03
2026-04-10,公式戦,巨人,ホーム,3,ヤクルト,NPB20260410YGYS01
2026-04-10,公式戦,ヤクルト,ビジター,2,巨人,NPB20260410YGYS01
2026-04-11,公式戦,中日,ホーム,3,阪神,NPB20260411CDHT03
2026-04-11,公式戦,阪神,ビジター,9,中日,NPB20260411CDHT03
2026-04-11,公式戦,DeNA,ホーム,4,広島,NPB20260411DBHC02
2026-04-11,公式戦,広島,ビジター,3,DeNA,NPB20260411DBHC02
2026-04-11,公式戦,楽天,ホーム,11,オリックス,NPB20260411EB05
2026-04-11,公式戦,オリックス,ビジター,4,楽天,NPB20260411EB05
2026-04-11,公式戦,日本ハム,ホーム,3,ソフトバンク,NPB20260411FSH04
2026-04-11,公式戦,ソフトバンク,ビジター,6,日本ハム,NPB20260411FSH04
2026-04-11,公式戦,西武,ホーム,5,ロッテ,NPB20260411LM06
2026-04-11,公式戦,ロッテ,ビジター,2,西武,NPB20260411LM06
2026-04-11,公式戦,巨人,ホーム,2,ヤクルト,NPB20260411YGYS01
2026-04-11,公式戦,ヤクルト,ビジター,3,巨人,NPB20260411YGYS01
2026-04-12,公式戦,中日,ホーム,0,阪神,NPB20260412CDHT03
2026-04-12,公式戦,阪神,ビジター,3,中日,NPB20260412CDHT03
2026-04-12,公式戦,DeNA,ホーム,6,広島,NPB20260412DBHC02
2026-04-12,公式戦,広島,ビジター,5,DeNA,NPB20260412DBHC02
2026-04-12,公式戦,楽天,ホーム,4,オリックス,NPB20260412EB05
2026-04-12,公式戦,オリックス,ビジター,0,楽天,NPB20260412EB05
2026-04-12,公式戦,日本ハム,ホーム,7,ソフトバンク,NPB20260412FSH04
2026-04-12,公式戦,ソフトバンク,ビジター,11,日本ハム,NPB20260412FSH04
2026-04-12,公式戦,西武,ホーム,2,ロッテ,NPB20260412LM06
2026-04-12,公式戦,ロッテ,ビジター,1,西武,NPB20260412LM06
2026-04-12,公式戦,巨人,ホーム,0,ヤクルト,NPB20260412YGYS01
2026-04-12,公式戦,ヤクルト,ビジター,2,巨人,NPB20260412YGYS01
2026-04-14,公式戦,オリックス,ホーム,5,西武,NPB20260414BL05
2026-04-14,公式戦,西武,ビジター,1,オリックス,NPB20260414BL05
2026-04-14,公式戦,中日,ホーム,6,広島,NPB20260414CDHC02
2026-04-14,公式戦,広島,ビジター,2,中日,NPB20260414CDHC02
2026-04-14,公式戦,阪神,ホーム,3,巨人,NPB20260414HTYG03
2026-04-14,公式戦,巨人,ビジター,4,阪神,NPB20260414HTYG03
2026-04-14,公式戦,ロッテ,ホーム,1,日本ハム,NPB20260414MF04
2026-04-14,公式戦,日本ハム,ビジター,5,ロッテ,NPB20260414MF04
2026-04-14,公式戦,ソフトバンク,ホーム,2,楽天,NPB20260414SHE06
2026-04-14,公式戦,楽天,ビジター,3,ソフトバンク,NPB20260414SHE06
2026-04-14,公式戦,ヤクルト,ホーム,5,DeNA,NPB20260414YSDB01
2026-04-14,公式戦,DeNA,ビジター,3,ヤクルト,NPB20260414YSDB01
2026-04-15,公式戦,オリックス,ホーム,3,西武,NPB20260415BL03
2026-04-15,公式戦,西武,ビジター,1,オリックス,NPB20260415BL03
2026-04-15,公式戦,中日,ホーム,2,広島,NPB20260415CDHC01
2026-04-15,公式戦,広島,ビジター,5,中日,NPB20260415CDHC01
2026-04-15,公式戦,ロッテ,ホーム,9,日本ハム,NPB20260415MF02
2026-04-15,公式戦,日本ハム,ビジター,7,ロッテ,NPB20260415MF02
2026-04-15,公式戦,ソフトバンク,ホーム,2,楽天,NPB20260415SHE04
2026-04-15,公式戦,楽天,ビジター,3,ソフトバンク,NPB20260415SHE04
2026-04-16,公式戦,オリックス,ホーム,7,西武,NPB20260416BL04
2026-04-16,公式戦,西武,ビジター,1,オリックス,NPB20260416BL04
2026-04-16,公式戦,阪神,ホーム,3,巨人,NPB20260416HTYG02
2026-04-16,公式戦,巨人,ビジター,4,阪神,NPB20260416HTYG02
2026-04-16,公式戦,ロッテ,ホーム,5,日本ハム,NPB20260416MF03
2026-04-16,公式戦,日本ハム,ビジター,3,ロッテ,NPB20260416MF03
2026-04-16,公式戦,ソフトバンク,ホーム,6,楽天,NPB20260416SHE05
2026-04-16,公式戦,楽天,ビジター,0,ソフトバンク,NPB20260416SHE05
2026-04-16,公式戦,ヤクルト,ホーム,2,DeNA,NPB20260416YSDB01
2026-04-16,公式戦,DeNA,ビジター,0,ヤクルト,NPB20260416YSDB01
2026-04-17,公式戦,楽天,ホーム,1,ロッテ,NPB20260417EM05
2026-04-17,公式戦,ロッテ,ビジター,0,楽天,NPB20260417EM05
2026-04-17,公式戦,日本ハム,ホーム,3,西武,NPB20260417FL04
2026-04-17,公式戦,西武,ビジター,5,日本ハム,NPB20260417FL04
2026-04-17,公式戦,広島,ホーム,1,DeNA,NPB20260417HCDB03
2026-04-17,公式戦,DeNA,ビジター,5,広島,NPB20260417HCDB03
2026-04-17,公式戦,阪神,ホーム,2,中日,NPB20260417HTCD02
2026-04-17,公式戦,中日,ビジター,1,阪神,NPB20260417HTCD02
2026-04-17,公式戦,ソフトバンク,ホーム,4,オリックス,NPB20260417SHB06
2026-04-17,公式戦,オリックス,ビジター,13,ソフトバンク,NPB20260417SHB06
2026-04-17,公式戦,ヤクルト,ホーム,2,巨人,NPB20260417YSYG01
2026-04-17,公式戦,巨人,ビジター,8,ヤクルト,NPB20260417YSYG01
2026-04-18,公式戦,楽天,ホーム,9,ロッテ,NPB20260418EM05
2026-04-18,公式戦,ロッテ,ビジター,1,楽天,NPB20260418EM05
2026-04-18,公式戦,日本ハム,ホーム,5,西武,NPB20260418FL04
2026-04-18,公式戦,西武,ビジター,3,日本ハム,NPB20260418FL04
2026-04-18,公式戦,広島,ホーム,2,DeNA,NPB20260418HCDB03
2026-04-18,公式戦,DeNA,ビジター,7,広島,NPB20260418HCDB03
2026-04-18,公式戦,阪神,ホーム,4,中日,NPB20260418HTCD02
2026-04-18,公式戦,中日,ビジター,3,阪神,NPB20260418HTCD02
2026-04-18,公式戦,ソフトバンク,ホーム,7,オリックス,NPB20260418SHB06
2026-04-18,公式戦,オリックス,ビジター,0,ソフトバンク,NPB20260418SHB06
2026-04-18,公式戦,ヤクルト,ホーム,4,巨人,NPB20260418YSYG01
2026-04-18,公式戦,巨人,ビジター,3,ヤクルト,NPB20260418YSYG01
2026-04-19,公式戦,楽天,ホーム,5,ロッテ,NPB20260419EM05
2026-04-19,公式戦,ロッテ,ビジター,8,楽天,NPB20260419EM05
2026-04-19,公式戦,日本ハム,ホーム,3,西武,NPB20260419FL04
2026-04-19,公式戦,西武,ビジター,15,日本ハム,NPB20260419FL04
2026-04-19,公式戦,広島,ホーム,0,DeNA,NPB20260419HCDB03
2026-04-19,公式戦,DeNA,ビジター,2,広島,NPB20260419HCDB03
2026-04-19,公式戦,阪神,ホーム,7,中日,NPB20260419HTCD02
2026-04-19,公式戦,中日,ビジター,5,阪神,NPB20260419HTCD02
2026-04-19,公式戦,ソフトバンク,ホーム,1,オリックス,NPB20260419SHB06
2026-04-19,公式戦,オリックス,ビジター,2,ソフトバンク,NPB20260419SHB06
2026-04-19,公式戦,ヤクルト,ホーム,3,巨人,NPB20260419YSYG01
2026-04-19,公式戦,巨人,ビジター,1,ヤクルト,NPB20260419YSYG01
2026-04-21,公式戦,DeNA,ホーム,16,阪神,NPB20260421DBHT02
2026-04-21,公式戦,阪神,ビジター,9,DeNA,NPB20260421DBHT02
2026-04-21,公式戦,日本ハム,ホーム,3,楽天,NPB20260421FE04
2026-04-21,公式戦,楽天,ビジター,1,日本ハム,NPB20260421FE04
2026-04-21,公式戦,広島,ホーム,2,ヤクルト,NPB20260421HCYS03
2026-04-21,公式戦,ヤクルト,ビジター,1,広島,NPB20260421HCYS03
2026-04-21,公式戦,西武,ホーム,6,ソフトバンク,NPB20260421LSH05
2026-04-21,公式戦,ソフトバンク,ビジター,4,西武,NPB20260421LSH05
2026-04-21,公式戦,ロッテ,ホーム,7,オリックス,NPB20260421MB06
2026-04-21,公式戦,オリックス,ビジター,4,ロッテ,NPB20260421MB06
2026-04-21,公式戦,巨人,ホーム,2,中日,NPB20260421YGCD01
2026-04-21,公式戦,中日,ビジター,1,巨人,NPB20260421YGCD01
2026-04-22,公式戦,DeNA,ホーム,7,阪神,NPB20260422DBHT02
2026-04-22,公式戦,阪神,ビジター,6,DeNA,NPB20260422DBHT02
2026-04-22,公式戦,日本ハム,ホーム,5,楽天,NPB20260422FE04
2026-04-22,公式戦,楽天,ビジター,4,日本ハム,NPB20260422FE04
2026-04-22,公式戦,広島,ホーム,0,ヤクルト,NPB20260422HCYS03
2026-04-22,公式戦,ヤクルト,ビジター,2,広島,NPB20260422HCYS03
2026-04-22,公式戦,西武,ホーム,3,ソフトバンク,NPB20260422LSH05
2026-04-22,公式戦,ソフトバンク,ビジター,1,西武,NPB20260422LSH05
2026-04-22,公式戦,ロッテ,ホーム,1,オリックス,NPB20260422MB06
2026-04-22,公式戦,オリックス,ビジター,4,ロッテ,NPB20260422MB06
2026-04-22,公式戦,巨人,ホーム,5,中日,NPB20260422YGCD01
2026-04-22,公式戦,中日,ビジター,1,巨人,NPB20260422YGCD01
2026-04-23,公式戦,日本ハム,ホーム,2,楽天,NPB20260423FE02
2026-04-23,公式戦,楽天,ビジター,3,日本ハム,NPB20260423FE02
2026-04-23,公式戦,広島,ホーム,0,ヤクルト,NPB20260423HCYS01
2026-04-23,公式戦,ヤクルト,ビジター,2,広島,NPB20260423HCYS01
2026-04-23,公式戦,西武,ホーム,3,ソフトバンク,NPB20260423LSH03
2026-04-23,公式戦,ソフトバンク,ビジター,4,西武,NPB20260423LSH03
2026-04-24,公式戦,オリックス,ホーム,3,日本ハム,NPB20260424BF03
2026-04-24,公式戦,日本ハム,ビジター,2,オリックス,NPB20260424BF03
2026-04-24,公式戦,中日,ホーム,6,ヤクルト,NPB20260424CDYS02
2026-04-24,公式戦,ヤクルト,ビジター,4,中日,NPB20260424CDYS02
2026-04-24,公式戦,DeNA,ホーム,2,巨人,NPB20260424DBYG01
2026-04-24,公式戦,巨人,ビジター,1,DeNA,NPB20260424DBYG01
2026-04-25,公式戦,オリックス,ホーム,4,日本ハム,NPB20260425BF05
2026-04-25,公式戦,日本ハム,ビジター,2,オリックス,NPB20260425BF05
2026-04-25,公式戦,中日,ホーム,5,ヤクルト,NPB20260425CDYS02
2026-04-25,公式戦,ヤクルト,ビジター,2,中日,NPB20260425CDYS02
2026-04-25,公式戦,DeNA,ホーム,2,巨人,NPB20260425DBYG01
2026-04-25,公式戦,巨人,ビジター,7,DeNA,NPB20260425DBYG01
2026-04-25,公式戦,楽天,ホーム,7,西武,NPB20260425EL04
2026-04-25,公式戦,西武,ビジター,9,楽天,NPB20260425EL04
2026-04-25,公式戦,阪神,ホーム,2,広島,NPB20260425HTHC03
2026-04-25,公式戦,広島,ビジター,2,阪神,NPB20260425HTHC03
2026-04-25,公式戦,ソフトバンク,ホーム,0,ロッテ,NPB20260425SHM06
2026-04-25,公式戦,ロッテ,ビジター,5,ソフトバンク,NPB20260425SHM06
