date,game_id,home,away,home_score,away_score,stadium,start_time
2026-05-01,NPB20260501HTYG02,阪神,巨人,3,5,甲子園,18:00
2026-05-01,NPB20260501YSDB01,ヤクルト,DeNA,16,5,神 宮,18:00
2026-05-02,NPB20260502HCCD03,広島,中日,0,4,マツダスタジアム,14:00
2026-05-02,NPB20260502HTYG02,阪神,巨人,7,5,甲子園,14:00
2026-05-02,NPB20260502YSDB01,ヤクルト,DeNA,6,5,神 宮,18:00
2026-05-03,NPB20260503HTYG02,阪神,巨人,3,0,甲子園,14:00
2026-05-03,NPB20260503YSDB01,ヤクルト,DeNA,2,12,神 宮,18:00
2026-05-04,NPB20260504CDHT03,中日,阪神,7,3,バンテリンドーム,14:30
2026-05-04,NPB20260504DBHC02,DeNA,広島,11,8,横 浜,15:00
2026-05-04,NPB20260504YGYS01,巨人,ヤクルト,1,5,東京ドーム,18:00
2026-05-05,NPB20260505CDHT03,中日,阪神,7,3,バンテリンドーム,14:00
2026-05-05,NPB20260505DBHC02,DeNA,広島,5,5,横 浜,14:00
2026-05-05,NPB20260505YGYS01,巨人,ヤクルト,3,2,東京ドーム,14:00
2026-05-06,NPB20260506CDHT03,中日,阪神,0,2,バンテリンドーム,14:00
2026-05-06,NPB20260506DBHC02,DeNA,広島,0,10,横 浜,14:00
2026-05-06,NPB20260506YGYS01,巨人,ヤクルト,0,5,東京ドーム,14:00
2026-05-08,NPB20260508CDYG01,中日,巨人,9,2,バンテリンドーム,18:00
2026-05-08,NPB20260508HCYS03,広島,ヤクルト,1,4,マツダスタジアム,18:00
2026-05-08,NPB20260508HTDB02,阪神,DeNA,1,10,甲子園,18:00
2026-05-09,NPB20260509CDYG01,中日,巨人,4,2,バンテリンドーム,14:00
2026-05-09,NPB20260509HCYS03,広島,ヤクルト,0,4,マツダスタジアム,14:00
2026-05-09,NPB20260509HTDB02,阪神,DeNA,1,3,甲子園,14:00
2026-05-10,NPB20260510CDYG01,中日,巨人,4,9,バンテリンドーム,13:30
2026-05-10,NPB20260510HCYS03,広島,ヤクルト,4,0,マツダスタジアム,13:30
2026-05-10,NPB20260510HTDB02,阪神,DeNA,3,0,甲子園,14:00
2026-05-12,NPB20260512DBCD03,DeNA,中日,3,1,横 浜,18:00
2026-05-12,NPB20260512YGHC01,巨人,広島,5,3,岐 阜,18:00
2026-05-12,NPB20260512YSHT02,ヤクルト,阪神,0,10,神 宮,18:00
2026-05-13,NPB20260513DBCD03,DeNA,中日,5,0,横 浜,18:00
2026-05-13,NPB20260513YGHC01,巨人,広島,4,2,福 井,18:00
2026-05-13,NPB20260513YSHT02,ヤクルト,阪神,4,2,神 宮,18:00
2026-05-14,NPB20260514DBCD01,DeNA,中日,0,0,横 浜,18:00
2026-05-15,NPB20260515CDYS02,中日,ヤクルト,5,8,バンテリンドーム,18:00
2026-05-15,NPB20260515HTHC03,阪神,広島,0,2,甲子園,18:00
2026-05-15,NPB20260515YGDB01,巨人,DeNA,2,0,東京ドーム,18:00
2026-05-16,NPB20260516CDYS02,中日,ヤクルト,8,0,バンテリンドーム,14:00
2026-05-16,NPB20260516HTHC03,阪神,広島,3,1,甲子園,14:00
2026-05-16,NPB20260516YGDB01,巨人,DeNA,4,3,東京ドーム,14:00
2026-05-17,NPB20260517CDYS02,中日,ヤクルト,1,5,バンテリンドーム,13:30
2026-05-17,NPB20260517HTHC03,阪神,広島,0,1,甲子園,14:00
2026-05-17,NPB20260517YGDB01,巨人,DeNA,1,0,東京ドーム,14:00
2026-05-19,NPB20260519HCDB03,広島,DeNA,3,1,マツダスタジアム,18:00
2026-05-19,NPB20260519HTCD02,阪神,中日,4,2,倉 敷,18:00
2026-05-19,NPB20260519YSYG01,ヤクルト,巨人,0,2,いわき,18:00
2026-05-20,NPB20260520HCDB02,広島,DeNA,3,4,マツダスタジアム,18:00
2026-05-20,NPB20260520HTCD01,阪神,中日,8,7,甲子園,18:00
2026-05-21,NPB20260521HCDB02,広島,DeNA,3,1,マツダスタジアム,18:00
2026-05-21,NPB20260521YSYG01,ヤクルト,巨人,3,1,神 宮,18:00
2026-05-22,NPB20260522CDHC02,中日,広島,6,2,バンテリンドーム,18:00
2026-05-22,NPB20260522YGHT01,巨人,阪神,4,7,東京ドーム,18:00
2026-05-23,NPB20260523CDHC03,中日,広島,3,5,バンテリンドーム,14:00
2026-05-23,NPB20260523DBYS02,DeNA,ヤクルト,0,6,横 浜,14:00
2026-05-23,NPB20260523YGHT01,巨人,阪神,0,3,東京ドーム,18:00
2026-05-24,NPB20260524CDHC03,中日,広島,3,5,バンテリンドーム,13:30
2026-05-24,NPB20260524DBYS02,DeNA,ヤクルト,1,0,横 浜,14:00
